mes,fila,DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mes_04,8,9,85,81,74,66,60,58,61,68,77,85,91,92,91,87,82,75,69,65,65,67,72,77,81,83
mes_04,9,10,83,80,74,67,60,56,57,62,71,81,88,92,93,91,86,80,74,69,66,66,69,74,78,79
mes_04,10,11,80,78,73,67,60,55,53,55,62,72,82,89,93,94,92,87,81,75,70,67,68,71,75,76
mes_04,11,12,76,75,72,66,60,54,50,49,53,61,72,82,89,94,96,93,88,83,77,72,69,69,71,73
mes_04,12,13,73,72,70,66,60,55,50,46,46,50,59,71,80,89,95,97,95,91,86,80,74,71,71,71
mes_04,13,14,71,70,69,66,61,56,51,46,42,43,48,57,68,79,89,96,98,96,93,88,82,77,73,71
mes_04,14,15,70,70,69,68,64,59,54,48,43,39,40,45,54,67,79,90,96,99,98,95,89,83,78,74
mes_04,15,16,71,70,71,71,70,66,60,54,47,41,38,39,43,53,66,80,91,97,99,98,95,89,83,77
mes_04,16,17,72,70,72,75,76,74,70,63,55,47,41,37,37,42,53,67,81,91,97,100,98,93,87,81
mes_04,17,18,75,70,70,76,80,83,81,76,68,58,49,42,37,36,41,53,69,82,92,98,99,96,91,85
mes_04,18,19,78,71,69,72,81,87,90,88,82,73,62,51,43,37,35,41,54,69,82,92,98,98,94,89
mes_04,19,20,81,74,68,68,75,86,94,97,96,89,78,67,55,45,38,36,42,55,69,82,91,96,96,92
mes_04,20,21,85,77,70,66,68,78,90,99,103,101,94,84,72,60,48,40,37,42,54,67,80,88,93,92
mes_04,21,22,88,81,73,66,64,68,79,92,101,106,105,99,90,78,65,52,43,39,43,53,65,76,84,88
mes_04,22,23,88,84,76,69,64,62,67,79,91,101,106,107,103,95,84,71,58,47,42,44,52,62,72,79
mes_04,23,24,82,82,78,71,65,60,59,64,76,88,98,105,108,106,100,89,77,64,52,45,46,52,60,67
mes_04,24,25,73,77,76,72,66,61,56,54,60,71,83,94,103,108,108,103,94,83,70,57,50,49,53,58
mes_04,25,26,64,70,72,71,67,62,56,50,49,55,65,77,90,101,108,109,106,98,87,74,62,54,53,54
mes_04,26,27,58,63,68,69,68,64,58,51,45,44,50,59,72,86,98,106,108,106,100,89,77,65,58,55
mes_04,27,28,56,60,65,69,69,67,62,55,48,42,41,46,55,69,84,96,104,107,105,99,89,77,67,60
mes_04,28,29,58,59,65,69,72,71,69,62,54,47,41,39,44,54,68,82,94,101,104,102,95,86,76,67
mes_04,29,30,61,61,64,70,75,77,76,72,65,56,48,42,40,45,55,69,81,91,98,100,97,91,83,73
mes_05,0,1,65,62,64,70,77,81,83,81,76,68,60,52,46,44,49,59,70,81,90,95,96,92,86,78
mes_05,1,2,69,63,64,69,76,83,88,89,86,80,73,65,56,50,50,55,63,72,82,89,92,91,87,81
mes_05,2,3,72,65,62,67,74,82,89,93,93,89,84,77,68,60,55,56,60,67,75,83,88,89,87,82
mes_05,3,4,75,67,62,64,71,79,87,94,96,95,91,86,78,69,62,59,61,65,71,78,84,87,86,83
mes_05,4,5,77,69,63,62,67,75,84,92,97,98,95,91,85,76,68,64,62,65,68,74,80,84,84,83
mes_05,5,6,78,71,64,61,63,71,80,89,96,99,98,94,89,81,73,66,63,64,67,71,76,80,82,81
mes_05,6,7,78,72,65,60,60,65,75,85,93,99,100,97,92,85,76,69,64,63,64,68,72,76,78,78
mes_05,7,8,76,71,64,58,56,59,67,78,88,96,100,99,95,89,81,72,66,62,62,65,69,72,74,74
mes_05,8,9,73,69,63,57,53,53,58,68,80,90,97,99,98,94,86,78,70,64,62,62,65,69,71,71
mes_05,9,10,69,66,61,56,51,49,50,57,67,80,90,96,98,97,92,85,77,70,65,62,63,66,68,68
mes_05,10,11,67,64,60,55,50,46,45,47,55,66,79,88,95,98,96,91,85,78,71,66,64,65,67,67
mes_05,11,12,66,64,61,56,50,46,42,42,45,53,64,77,86,94,97,96,91,86,79,73,69,67,67,68
mes_05,12,13,68,66,64,60,54,49,44,40,39,43,50,62,75,85,94,97,96,92,87,81,75,71,68,68
mes_05,13,14,69,70,70,67,63,56,50,44,39,38,41,48,60,74,86,94,98,97,93,88,82,76,71,69
mes_05,14,15,69,72,75,76,74,68,61,53,45,40,37,40,47,60,74,86,95,98,98,94,88,81,75,71
mes_05,15,16,68,71,77,82,84,82,76,67,57,48,41,38,39,46,60,75,87,95,99,98,93,87,80,74
mes_05,16,17,69,68,74,83,90,93,91,85,74,63,53,44,39,39,46,60,74,86,94,98,96,92,85,78
mes_05,17,18,71,67,69,78,89,98,102,100,92,81,70,58,47,40,39,47,59,72,84,92,95,94,89,82
mes_05,18,19,74,67,65,70,81,93,103,108,106,99,89,76,63,51,42,40,46,57,70,81,89,91,90,86
mes_05,19,20,78,70,64,63,70,82,95,106,112,111,104,95,82,68,55,45,42,46,55,67,77,84,86,86
mes_05,20,21,81,73,65,61,61,68,81,95,107,112,113,108,100,87,72,59,48,43,46,54,64,72,78,81
mes_05,21,22,80,75,67,61,57,57,65,78,92,104,111,113,111,103,90,76,63,51,45,47,53,61,68,74
mes_05,22,23,76,74,68,62,56,52,52,60,73,87,99,108,112,111,104,92,80,66,54,47,49,54,60,66
mes_05,23,24,70,72,69,63,57,51,47,47,55,68,81,94,104,110,109,103,93,81,68,57,51,52,55,60
mes_05,24,25,65,69,69,65,60,54,47,42,43,51,62,76,89,100,106,106,101,92,82,69,59,55,55,57
mes_05,25,26,62,67,70,68,65,59,52,45,40,41,48,59,72,86,96,101,102,98,91,81,70,62,58,58
